,Causes,Hazard,Impacts,Adaptation,Mitigation,Invalid
2025-12-22,0.9,1.8,0.0,0.0,0.0,0.0
2025-12-23,0.0,3.4,0.0,0.0,0.0,0.0
2025-12-24,0.0,0.9,0.9,0.0,0.0,1.4
2025-12-25,0.0,2.5,0.0,0.0,0.0,0.0
2025-12-26,0.0,0.9,0.0,0.0,0.0,0.0
2025-12-27,0.0,0.9,0.0,0.0,0.0,0.8
2025-12-28,0.0,0.9,0.0,0.0,0.0,0.0
2025-12-29,0.0,3.4000000000000004,0.0,0.0,0.0,0.7
2025-12-31,0.0,3.6,0.0,0.0,0.0,0.0
2026-01-01,0.0,0.9,0.0,0.0,0.0,0.0
2026-01-05,0.0,4.1000000000000005,1.8,0.0,0.0,0.0
2026-01-06,0.0,1.8,0.0,0.0,0.0,0.0
2026-01-08,0.0,0.8,0.0,0.0,0.0,0.0
2026-01-09,0.0,2.7,0.0,0.0,0.0,0.0
2026-01-10,0.0,1.8,0.0,0.0,0.0,0.0
2026-01-11,0.0,0.9,0.0,0.0,0.0,0.0
2026-01-12,0.0,1.8,0.0,0.0,0.0,0.0
2026-01-13,0.0,4.3,0.9,0.0,0.0,0.0
2026-01-14,0.0,1.6,1.8,0.0,0.0,0.0
2026-01-15,0.0,4.5,0.0,0.0,0.0,0.7
2026-01-16,0.0,1.8,0.0,0.0,0.0,0.0
2026-01-17,0.0,6.6000000000000005,0.0,0.0,0.0,0.0
2026-01-18,0.0,5.000000000000001,1.8,0.0,0.0,0.0
2026-01-19,0.0,2.5,0.0,0.0,0.9,0.0
2026-01-20,0.0,1.8,0.0,0.0,0.0,0.0
2026-01-21,0.0,1.7000000000000002,0.0,0.0,0.0,0.0
2026-01-22,3.6,13.400000000000004,0.9,0.0,0.0,0.0
2026-01-23,0.9,9.700000000000001,0.9,0.0,0.0,0.0
2026-01-24,3.6,18.0,0.0,0.0,0.0,0.0
2026-01-25,0.9,16.900000000000002,0.9,0.9,0.0,0.0
2026-01-26,0.7,20.699999999999996,8.100000000000001,0.0,0.0,0.0
2026-01-27,0.9,10.600000000000001,1.8,1.8,0.0,0.8
2026-01-28,2.7,5.2,4.5,2.7,0.0,0.0
2026-01-29,0.0,3.4,0.0,0.0,0.0,0.0
2026-01-30,0.0,3.6,1.8,0.0,0.0,0.0
2026-01-31,0.9,11.700000000000003,3.6,0.0,0.0,0.0
2026-02-01,0.0,9.600000000000001,0.0,0.0,0.0,0.0
2026-02-02,0.0,4.5,0.0,0.0,0.9,0.0
2026-02-03,0.0,1.8,0.0,0.0,0.0,0.7
2026-02-04,0.0,4.3,1.8,0.0,0.0,0.0
2026-02-05,0.0,1.8,0.0,0.0,0.0,0.0
2026-02-06,0.9,2.7,0.9,0.0,0.0,0.0
2026-02-08,0.0,16.700000000000003,0.0,0.0,0.0,0.0
2026-02-09,0.9,8.100000000000001,0.7,0.0,0.0,0.0
2026-02-10,0.0,3.4,0.0,0.0,0.0,0.0
2026-02-11,0.0,3.6,0.0,0.0,0.0,0.0
2026-02-12,0.0,3.6,0.0,0.0,0.0,0.7
2026-02-13,0.0,6.300000000000001,1.6,0.0,0.0,0.0
2026-02-14,0.0,4.5,0.0,0.0,0.0,0.0
2026-02-15,0.0,2.7,0.0,0.0,0.0,0.0
2026-02-16,0.0,2.7,0.0,0.0,0.0,0.0
2026-02-17,0.0,10.600000000000001,0.0,0.0,0.0,0.0
2026-02-18,0.0,5.4,0.9,0.0,0.0,0.0
2026-02-19,0.0,1.8,0.0,0.0,0.0,0.0
2026-02-20,0.0,1.6,0.0,0.0,0.0,0.0
2026-02-21,0.0,0.0,0.9,0.7,0.0,0.0
2026-02-22,0.0,1.8,0.0,0.0,0.0,0.0
2026-02-23,0.0,4.800000000000001,0.0,0.0,0.0,0.0
2026-02-24,0.0,1.6,0.0,0.0,0.0,0.0
2026-02-25,0.9,4.3,0.0,0.0,0.0,0.0
2026-02-27,0.0,0.9,0.7,0.0,0.0,0.0
2026-02-28,0.0,0.9,0.0,0.0,0.0,0.0
2026-03-02,0.0,0.8,0.0,0.0,0.0,0.0
2026-03-04,0.9,3.4,0.0,0.0,0.0,0.0
2026-03-05,0.0,4.3,0.9,0.0,0.0,0.0
2026-03-06,0.0,0.9,0.0,0.9,0.0,0.0
2026-03-07,0.0,4.5,0.9,0.7,0.0,0.0
2026-03-08,0.0,12.600000000000003,0.0,0.0,0.0,0.0
2026-03-09,0.0,5.4,0.0,0.0,0.0,0.0
2026-03-10,0.0,3.6,0.0,0.0,0.0,0.0
2026-03-11,0.0,3.5,0.0,0.0,0.0,0.0
2026-03-12,0.0,7.800000000000002,0.0,0.0,0.0,0.0
2026-03-13,0.9,4.1,0.0,0.0,0.0,4.2
2026-03-14,0.0,0.7,0.0,0.0,0.0,0.0
2026-03-15,0.0,2.7,0.9,0.0,0.0,0.0
2026-03-16,0.0,4.5,0.9,0.0,0.0,0.0
2026-03-17,0.0,3.0999999999999996,0.0,0.0,0.0,0.0
2026-03-18,0.0,4.5,0.9,0.0,0.0,1.4
2026-03-19,0.0,0.9,0.0,0.0,0.0,0.0
2026-03-20,0.0,1.8,1.8,0.0,0.0,0.0
2026-03-21,0.0,1.8,0.0,0.0,0.0,0.0
2026-03-22,0.0,1.8,0.9,0.0,0.0,0.0
2026-03-26,0.0,0.9,0.0,0.0,0.0,0.0
2026-03-27,0.0,1.8,0.9,0.0,0.0,0.0
2026-03-28,0.0,1.6,0.0,0.0,0.0,0.0
2026-03-29,0.0,1.8,0.0,0.9,0.0,0.0
2026-03-30,0.0,0.9,0.0,0.0,0.0,0.0
2026-03-31,0.0,0.0,0.9,0.0,0.0,0.0
2026-04-02,0.0,1.6,0.9,0.0,0.0,0.0
2026-04-03,0.0,0.9,0.0,0.0,0.0,0.0
2026-04-04,0.0,0.9,0.0,0.0,0.0,0.0
2026-04-05,0.0,0.8,0.0,0.0,0.0,0.0
2026-04-06,0.0,0.9,0.9,0.0,0.0,0.0
2026-04-09,0.0,0.0,0.0,0.0,0.9,0.0
2026-04-11,0.0,0.9,0.0,0.0,0.0,0.0
2026-04-12,0.0,6.1000000000000005,0.0,0.0,0.0,0.0
2026-04-13,0.0,8.8,0.0,0.0,0.0,0.0
2026-04-14,0.0,11.400000000000004,0.0,0.0,0.0,0.0
2026-04-15,0.0,2.7,0.0,0.0,0.0,0.0
2026-04-17,0.0,0.9,0.0,0.0,0.0,0.0
2026-04-18,0.0,0.0,0.9,0.0,0.0,0.0
2026-04-19,0.0,0.9,0.0,0.0,0.0,0.0
2026-04-20,0.0,5.4,0.0,0.0,0.0,0.7
2026-04-21,0.9,0.9,0.0,0.0,0.0,0.0
2026-04-22,0.0,0.9,0.0,0.0,0.0,0.0
2026-04-23,0.9,4.3,0.0,0.0,0.0,0.0
2026-04-24,0.0,0.9,0.0,0.0,0.0,0.0
2026-04-25,0.0,4.5,0.0,0.0,0.0,0.0
2026-04-26,0.0,0.9,1.8,0.0,0.0,0.0
2026-04-27,0.0,2.5,1.8,0.0,0.0,0.0
2026-04-28,0.0,2.5,0.9,0.0,0.0,0.0
2026-04-29,0.0,2.7,0.0,0.0,0.0,0.0
2026-05-01,0.0,4.5,0.0,0.0,0.0,0.0
2026-05-02,0.0,0.9,0.0,0.0,0.0,0.0
2026-05-03,0.9,3.5,0.0,0.0,0.0,0.0
2026-05-05,0.0,7.600000000000001,0.0,0.0,0.0,0.0
2026-05-06,0.9,8.8,0.0,0.0,0.0,0.0
2026-05-07,0.0,4.7,0.9,0.0,0.0,0.0
2026-05-08,0.0,8.0,0.0,0.0,0.0,0.0
2026-05-09,0.0,1.8,0.0,0.0,0.0,0.0
2026-05-10,0.0,1.8,0.0,0.0,0.0,0.0
2026-05-11,0.0,1.6,0.9,0.0,0.0,0.0
2026-05-12,0.0,7.200000000000001,0.0,0.0,0.0,0.7
2026-05-13,0.0,3.6,0.0,0.0,0.0,0.0
2026-05-14,0.0,0.9,0.0,0.0,0.0,0.7
2026-05-15,0.0,6.300000000000001,0.0,0.0,0.0,0.0
2026-05-17,0.0,0.9,0.0,0.0,0.0,0.0
2026-05-18,0.0,2.4000000000000004,0.0,0.0,0.0,0.0
2026-05-20,0.0,1.8,0.0,0.0,0.0,0.0
2026-05-21,0.0,0.0,0.9,0.0,0.0,0.0
2026-05-22,0.9,0.9,0.0,0.0,0.0,0.0
2026-05-23,0.9,2.6,0.0,0.0,0.0,0.0
2026-05-24,0.0,0.9,0.0,0.0,0.0,0.0
2026-05-25,0.0,0.9,0.0,0.0,0.0,0.0
2026-05-26,0.0,3.6,0.0,0.0,0.0,0.0
2026-05-27,0.7,7.900000000000001,0.9,0.0,0.0,0.0
2026-05-28,0.0,1.7000000000000002,0.0,0.0,0.0,0.0
2026-05-29,0.0,1.8,0.0,0.0,0.0,0.0
2026-05-31,0.0,0.9,1.8,0.0,0.0,0.0
2026-06-01,0.0,1.6,0.0,0.0,0.0,1.4
2026-06-02,0.0,0.8,0.0,0.0,0.0,0.0
2026-06-03,0.0,1.7000000000000002,0.0,0.0,0.0,0.0
2026-06-04,0.0,3.4000000000000004,0.0,0.0,0.0,0.7
2026-06-05,0.0,0.9,0.9,0.0,0.0,0.0
2026-06-06,0.0,0.0,0.0,0.0,0.0,0.7
2026-06-08,0.0,2.5,0.0,0.0,0.0,0.0
2026-06-09,0.0,2.7,0.7,0.0,0.0,1.4
2026-06-10,0.0,1.6,0.0,0.0,0.0,0.0
2026-06-11,0.0,0.9,0.0,0.0,0.0,0.0
2026-06-12,0.0,0.9,0.0,0.0,0.0,0.7
2026-06-13,0.0,0.0,0.9,0.0,0.0,0.0
2026-06-14,0.0,1.7000000000000002,0.0,0.0,0.0,0.0
2026-06-17,0.0,1.6,0.0,0.0,0.0,0.0
2026-06-19,0.9,0.0,0.9,0.0,0.0,0.0
2026-06-20,0.0,1.7000000000000002,0.0,0.0,0.0,0.7
2026-06-21,0.0,3.6,0.9,0.0,0.0,0.0
2026-06-22,0.0,14.400000000000004,0.9,0.0,0.0,1.4
2026-06-23,0.0,5.800000000000001,0.0,0.0,0.0,0.7
2026-06-24,0.0,1.6,0.7,0.0,0.0,0.0
2026-06-25,0.0,1.8,0.0,0.0,0.0,0.0
2026-06-26,0.0,1.8,0.0,0.0,0.0,0.0
2026-06-27,0.9,1.8,0.0,0.0,0.0,0.0
2026-06-28,0.0,0.9,0.0,0.0,0.0,0.0
2026-06-29,0.0,1.8,0.9,0.0,0.0,0.0
2026-06-30,0.0,4.4,0.0,0.0,0.0,0.0
2026-07-02,0.0,2.7,0.0,0.0,0.0,0.0
2026-07-03,0.0,1.8,0.0,0.0,0.0,0.0
2026-07-04,0.9,0.9,0.0,0.0,0.0,0.0
2026-07-05,0.9,1.8,0.0,0.0,0.0,0.0
2026-07-06,0.9,1.8,2.7,0.0,0.0,0.0
2026-07-07,1.8,3.6,1.6,0.0,0.0,0.0
2026-07-08,2.7,3.6,0.9,0.0,0.0,0.7
2026-07-09,2.7,3.6,1.8,0.0,0.0,0.0
2026-07-10,0.0,0.9,0.9,0.0,0.0,0.0
